year;title;publication_name;issn
2018;Effective ant colony optimization solution for the Brazilian family health team scheduling problem;Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI;10823409
2018;Novel Parallel Anytime A∗ for Graph and Network Clustering;2018 IEEE Congress on Evolutionary Computation, CEC 2018 - Proceedings;-
2017;Exact computational solution of Modularity Density Maximization by effective column generation;Computers and Operations Research;03050548
2017;Novel Clique enumeration heuristic for detecting overlapping clusters;2017 IEEE Congress on Evolutionary Computation, CEC 2017 - Proceedings;-
2017;Genetic algorithm for epidemic mitigation by removing relationships;GECCO 2017 - Proceedings of the 2017 Genetic and Evolutionary Computation Conference;-
2017;Efficient modularity density heuristics for large graphs;European Journal of Operational Research;03772217
