year;title;publication_name;issn
2019;Design Guidelines for Feedforward Cancellation of the Occlusion-Effect in Hearing Aids;Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS;1557170X
2019;Voice activity detection using generalized exponential kernels for time and frequency domains;IEEE Transactions on Circuits and Systems I: Regular Papers;15498328
2019;Concurrent Acoustical Feedback and Occlusion-Effect Cancellation in Hearing Aids: A Simulation-Based Analysis;IFMBE Proceedings;16800737
2019;Performance Analysis of the Deficient Length Feedforward Occlusion-Effect Canceller for Hearing Aids;IFMBE Proceedings;16800737
2018;Stochastic behavior analysis of the Gaussian KLMS algorithm for a correlated input signal;Signal Processing;01651684
2018;Energy-based voice activity detection algorithm using Gaussian and Cauchy kernels;9th IEEE Latin American Symposium on Circuits and Systems, LASCAS 2018 - Proceedings;-
