year;title;publication_name;issn
2020;Proceedings of the 19th brazilian symposium on software quality;PervasiveHealth: Pervasive Computing Technologies for Healthcare;21531633
2020;Accessible Features to Support Visually Impaired People in Game Development: : A Systematic Literature Review of the last 15 years;Iberian Conference on Information Systems and Technologies, CISTI;21660727
2020;Microservices identification strategies : A review focused on Model-Driven Engineering and Domain Driven Design approaches;Iberian Conference on Information Systems and Technologies, CISTI;21660727
2020;Using technologies as virtual environments for computer teaching: A systematic review;Informatics in Education;16485831
2019;Foreword;PervasiveHealth: Pervasive Computing Technologies for Healthcare;21531633
2018;Ludic practices to support the development of software engineering educational games: A systematic review;Proceedings - 2018 44th Latin American Computing Conference, CLEI 2018;-
2017;Self-Adaptive systems driven by runtime models a systematic literature review of approaches;Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE;23259000
