year;title;publication_name;issn
2020;Clothing Classification Using Convolutional Neural Networks;Iberian Conference on Information Systems and Technologies, CISTI;21660727
2020;Accessible Features to Support Visually Impaired People in Game Development: : A Systematic Literature Review of the last 15 years;Iberian Conference on Information Systems and Technologies, CISTI;21660727
2020;Using Machine Learning for Road Maintenance Cost Estimates in Brazil: A case study in the Federal District;Iberian Conference on Information Systems and Technologies, CISTI;21660727
2020;Prediction of Attendance at Medical Appointments Based on Machine Learning;Iberian Conference on Information Systems and Technologies, CISTI;21660727
2020;Collaborative agents in adaptative VLEs: Towards an interface agent for interactivity and decision-making improvement;ICEIS 2020 - Proceedings of the 22nd International Conference on Enterprise Information Systems;-
2020;Using technologies as virtual environments for computer teaching: A systematic review;Informatics in Education;16485831
2018;Multiple-volume volumetric rendering using graphic accelerator;Proceedings - 2018 44th Latin American Computing Conference, CLEI 2018;-
2018;Treatment with either leflunomide or adalimumab reduces anaemia in patients with rheumatoid arthritis;Anais da Academia Brasileira de Ciencias;00013765
